email_text,label
Let's catch up tomorrow 🎂😊,not spam
Let's catch up tomorrow ,not spam
Limited time offer 🔥‼,spam
Click here to claim your prize 📢,spam
Congratulations! You've won 🤑,spam
Can you review this document? 📧📧,not spam
Thanks for reaching out 🎂,not spam
Urgent! Act now 📢,spam
Click here to claim your prize 📢🤑🔥,spam
Let's catch up tomorrow 👍😊,not spam
Limited time offer 💰,spam
Congratulations! You've won ‼🎉,spam
Happy Birthday! 🎂 🎂👍,not spam
Free money just for you 🤑🔥‼,spam
Win a free gift 💰,spam
Happy Birthday! 🎂 😊🎂,not spam
Limited time offer 🎉💰,spam
Urgent! Act now 📢🤑,spam
Win a free gift 🎉🔥📢,spam
Free money just for you 🔥,spam
Urgent! Act now 🔥,spam
Free money just for you 🤑,spam
Limited time offer 💰🎉💰,spam
Let's catch up tomorrow 📧,not spam
Can you review this document? 🙏📧,not spam
Congratulations! You've won 📢🔥,spam
Congratulations! You've won 📢🤑🔥,spam
Can you review this document? 👍,not spam
Your order has been shipped ,not spam
Free money just for you 💰🎉,spam
Your order has been shipped ,not spam
Urgent! Act now 📢,spam
Let's catch up tomorrow ,not spam
Thanks for reaching out 🙏📧,not spam
Win a free gift 📢,spam
Free money just for you 🎉🎉,spam
Your order has been shipped 👍,not spam
Can you review this document? 😊🙏,not spam
Congratulations! You've won 🎉💰,spam
Congratulations! You've won 🤑🔥,spam
Let's catch up tomorrow 👍,not spam
Let's catch up tomorrow 😊🙏,not spam
Click here to claim your prize 📢,spam
Click here to claim your prize 🎉🤑‼,spam
Click here to claim your prize 🎉🤑,spam
Your order has been shipped 👍😊,not spam
Meeting at 3 PM confirmed ,not spam
Can you review this document? 📧,not spam
Meeting at 3 PM confirmed ,not spam
Urgent! Act now 💰,spam
Click here to claim your prize 💰📢,spam
Can you review this document? ,not spam
Thanks for reaching out ,not spam
Click here to claim your prize 🎉,spam
Your order has been shipped ,not spam
Thanks for reaching out ,not spam
Limited time offer 🎉,spam
Limited time offer ‼,spam
Win a free gift 🔥🔥,spam
Limited time offer 🎉,spam
Thanks for reaching out 🎂😊,not spam
Happy Birthday! 🎂 🙏,not spam
Thanks for reaching out ,not spam
Congratulations! You've won 🔥📢,spam
Can you review this document? 🎂👍,not spam
Thanks for reaching out 📧😊,not spam
Urgent! Act now 📢📢🤑,spam
Your order has been shipped 😊,not spam
Urgent! Act now 🔥‼,spam
Limited time offer 🎉,spam
Thanks for reaching out ,not spam
Let's catch up tomorrow ,not spam
Congratulations! You've won 🔥‼🎉,spam
Let's catch up tomorrow 😊,not spam
Click here to claim your prize 💰,spam
Your order has been shipped 🙏,not spam
Limited time offer 💰,spam
Thanks for reaching out 📧,not spam
Limited time offer 🔥,spam
Thanks for reaching out 🙏,not spam
Free money just for you 💰💰‼,spam
Can you review this document? 🙏,not spam
Free money just for you ‼,spam
Your order has been shipped 😊,not spam
Your order has been shipped 👍😊,not spam
Thanks for reaching out ,not spam
Your order has been shipped 📧🎂,not spam
Urgent! Act now 🤑,spam
Free money just for you 🤑‼💰,spam
Happy Birthday! 🎂 👍,not spam
Win a free gift ‼,spam
Your order has been shipped ,not spam
Let's catch up tomorrow 😊📧,not spam
Meeting at 3 PM confirmed 🎂,not spam
Thanks for reaching out ,not spam
Win a free gift 💰,spam
Can you review this document? 🙏👍,not spam
Free money just for you 🔥📢,spam
Happy Birthday! 🎂 🙏,not spam
Free money just for you 🔥💰,spam
Free money just for you ‼,spam
Free money just for you 💰🔥,spam
Limited time offer 📢,spam
Meeting at 3 PM confirmed 👍,not spam
Let's catch up tomorrow ,not spam
Win a free gift 📢💰🔥,spam
Congratulations! You've won 🎉💰📢,spam
Free money just for you 💰,spam
Congratulations! You've won 💰,spam
Click here to claim your prize 📢🔥,spam
Limited time offer 🔥📢,spam
Click here to claim your prize 🤑,spam
Click here to claim your prize 💰,spam
Your order has been shipped ,not spam
Limited time offer 🔥,spam
Can you review this document? 🙏,not spam
Win a free gift 📢‼🔥,spam
Click here to claim your prize 🎉‼,spam
Thanks for reaching out 🎂,not spam
Free money just for you 🤑🎉🤑,spam
Congratulations! You've won 💰,spam
Congratulations! You've won 🤑,spam
Meeting at 3 PM confirmed ,not spam
Urgent! Act now 🤑,spam
Let's catch up tomorrow 🙏,not spam
Can you review this document? 🎂,not spam
Win a free gift 💰💰,spam
Can you review this document? 🙏,not spam
Your order has been shipped 😊🙏,not spam
Happy Birthday! 🎂 ,not spam
Free money just for you ‼🤑,spam
Your order has been shipped 🙏🎂,not spam
Limited time offer 🤑,spam
Limited time offer 🎉‼‼,spam
Happy Birthday! 🎂 ,not spam
Urgent! Act now 💰🤑🤑,spam
Thanks for reaching out ,not spam
Meeting at 3 PM confirmed ,not spam
Your order has been shipped ,not spam
Can you review this document? 🎂,not spam
Click here to claim your prize ‼,spam
Urgent! Act now 🤑📢🔥,spam
Can you review this document? ,not spam
Can you review this document? 🙏,not spam
Limited time offer ‼💰🎉,spam
Limited time offer 🔥🤑,spam
Meeting at 3 PM confirmed 🎂😊,not spam
Win a free gift 🔥📢🎉,spam
Happy Birthday! 🎂 🙏🎂,not spam
Your order has been shipped 📧📧,not spam
Congratulations! You've won 🤑,spam
Let's catch up tomorrow ,not spam
Happy Birthday! 🎂 🙏🎂,not spam
Urgent! Act now 🤑📢📢,spam
Let's catch up tomorrow ,not spam
Happy Birthday! 🎂 😊🙏,not spam
Meeting at 3 PM confirmed 🙏📧,not spam
Meeting at 3 PM confirmed 📧🙏,not spam
Let's catch up tomorrow ,not spam
Free money just for you 📢‼🎉,spam
Thanks for reaching out 🎂,not spam
Win a free gift 🤑🎉,spam
Can you review this document? 🙏,not spam
Thanks for reaching out 👍🎂,not spam
Can you review this document? 👍🙏,not spam
Win a free gift 💰,spam
Thanks for reaching out 👍,not spam
Limited time offer 🔥,spam
Free money just for you 💰,spam
Congratulations! You've won 🔥,spam
Limited time offer 🔥‼📢,spam
Congratulations! You've won 📢📢,spam
Let's catch up tomorrow 👍📧,not spam
Meeting at 3 PM confirmed ,not spam
Urgent! Act now 💰‼,spam
Click here to claim your prize 💰🤑,spam
Can you review this document? ,not spam
Thanks for reaching out 📧,not spam
Meeting at 3 PM confirmed 🙏,not spam
Let's catch up tomorrow ,not spam
Your order has been shipped ,not spam
Free money just for you 💰,spam
Your order has been shipped 📧,not spam
Free money just for you 💰🎉,spam
Your order has been shipped 👍,not spam
Thanks for reaching out 🙏👍,not spam
Thanks for reaching out ,not spam
Congratulations! You've won 🎉,spam
Meeting at 3 PM confirmed 😊,not spam
Click here to claim your prize 🎉🔥,spam
Your order has been shipped 📧😊,not spam
Meeting at 3 PM confirmed ,not spam
Click here to claim your prize 🎉💰,spam
Urgent! Act now 🤑,spam
Let's catch up tomorrow 🙏,not spam
Limited time offer 💰‼📢,spam
Urgent! Act now 🎉📢,spam
Limited time offer 🔥🎉💰,spam
Let's catch up tomorrow 👍,not spam
Limited time offer 💰,spam
